时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
1992-06-24,三	1150.89	1158.17	1144.46	1151.06	-7.11	-0.61	1.18	4371500	36497766	
1992-06-25,四	1153.48	1160.23	1148.02	1160.23	+9.17	0.80	1.06	5827700	50127998	
1992-06-26,五	1164.29	1207.82	1160.23	1164.67	+4.44	0.38	4.10	8954800	64137810	
1992-06-29,一	1168.89	1173.49	1156.68	1169.51	+4.84	0.42	1.44	10710300	102578796	
1992-06-30,二	1186.60	1193.16	1169.51	1191.19	+21.68	1.85	2.02	15946200	147621700	
1992-07-01,三	1199.54	1215.13	1182.05	1194.18	+2.99	0.25	2.78	11602500	112406302	
1992-07-02,四	1187.30	1198.66	1179.84	1187.48	-6.70	-0.56	1.58	9552900	92341060	
1992-07-03,五	1189.08	1193.39	1183.96	1189.16	+1.68	0.14	0.794	18078200	154763620	
1992-07-06,一	1197.76	1215.24	1190.27	1201.01	+11.85	1.00	2.10	19252400	178472990	
1992-07-07,二	1201.01	1206.91	1195.81	1206.46	+5.45	0.45	0.924	19982600	188306230	
1992-07-08,三	1192.35	1211.27	1182.72	1185.50	-20.96	-1.74	2.37	13018800	138880310	
1992-07-09,四	1172.44	1187.18	1168.78	1178.53	-6.97	-0.59	1.55	12648500	130815440	
1992-07-10,五	1175.14	1192.98	1166.45	1188.60	+10.07	0.85	2.25	12928500	134101378	
1992-07-13,一	1156.83	1198.90	1131.21	1136.33	-52.27	-4.40	5.69	11847400	123468475	
1992-07-14,二	1124.65	1139.96	1110.19	1114.05	-22.28	-1.96	2.62	8971200	95340924	
1992-07-15,三	1107.18	1135.57	1100.16	1107.69	-6.36	-0.57	3.18	11894200	121584360	
1992-07-16,四	1114.13	1214.83	1108.23	1124.64	+16.95	1.53	9.62	14819700	151032600	
1992-07-17,五	1121.49	1134.32	1116.14	1125.56	+0.92	0.08	1.62	10470200	115821091	
1992-07-20,一	1100.58	1126.96	1094.81	1098.82	-26.74	-2.38	2.86	6322900	67313538	
1992-07-21,二	1087.59	1096.49	1079.75	1082.39	-16.43	-1.50	1.52	6107400	66221851	
1992-07-22,三	1059.22	1081.81	1034.91	1035.66	-46.73	-4.32	4.33	10127600	105623180	
1992-07-23,四	1020.07	1033.75	961.61	1014.57	-21.09	-2.04	6.97	12454200	137013290	
1992-07-24,五	1165.89	1178.90	1014.08	1142.02	+127.45	12.56	16.25	9267000	100041780	
1992-07-27,一	1169.42	1178.81	1108.05	1149.33	+7.31	0.64	6.20	11800700	122257738	
1992-07-28,二	1126.88	1148.63	1102.02	1105.95	-43.38	-3.77	4.06	9238500	105616882	
1992-07-29,三	1078.31	1108.06	1047.03	1087.10	-18.85	-1.70	5.52	7387100	85225679	
1992-07-30,四	1067.45	1087.34	1043.79	1057.40	-29.70	-2.73	4.01	6509500	88690330	
1992-07-31,五	1045.67	1052.07	1032.54	1052.07	-5.33	-0.50	1.85	5323600	77149541	
1992-08-03,一	1034.70	1060.34	1026.83	1031.55	-20.52	-1.95	3.19	5999700	73754403	
1992-08-04,二	1018.30	1036.33	1016.16	1035.63	+4.08	0.40	1.96	5254800	63035097	
1992-08-05,三	1015.76	1038.30	1011.66	1012.55	-23.08	-2.23	2.57	6599200	76139993	
1992-08-06,四	988.38	1010.76	983.22	1002.17	-10.38	-1.03	2.72	9681400	108106841	
1992-08-07,五	1003.22	1006.11	995.71	1005.23	+3.06	0.31	1.04	8817900	101706996	
1992-08-10,一	992.73	1006.64	956.55	964.09	-41.14	-4.09	4.98	9638500	111257788	
1992-08-11,二	926.81	961.61	797.60	863.41	-100.68	-10.44	17.01	14094000	153828820	
1992-08-12,三	675.00	843.30	627.36	781.21	-82.20	-9.52	25.01	17502800	188801200	
1992-08-13,四	797.17	890.06	745.62	850.94	+69.73	8.93	18.49	16344300	171260110	
1992-08-14,五	857.10	900.51	818.12	858.38	+7.44	0.87	9.68	15275400	159447570	
1992-08-17,一	898.66	940.76	858.38	939.46	+81.08	9.45	9.60	18451400	190291930	
1992-08-18,二	954.89	999.69	921.98	933.44	-6.02	-0.64	8.27	25416600	259401680	
1992-08-19,三	920.66	951.16	888.23	939.51	+6.07	0.65	6.74	12901300	131836239	
1992-08-20,四	930.70	946.73	918.65	932.32	-7.19	-0.77	2.99	13211100	177488020	
1992-08-21,五	916.99	938.37	912.89	916.25	-16.07	-1.72	2.73	14460900	189594660	
1992-08-24,一	888.95	920.85	881.33	884.10	-32.15	-3.51	4.31	14434800	155058340	
1992-08-25,二	868.10	887.49	848.05	849.57	-34.53	-3.91	4.46	12778800	135092140	
1992-08-26,三	841.42	877.25	827.36	877.25	+27.68	3.26	5.87	13023100	153392990	
1992-08-27,四	874.75	880.02	861.64	863.77	-13.48	-1.54	2.10	8766600	89723328	
1992-08-28,五	851.60	866.98	825.01	848.20	-15.57	-1.80	4.86	7951900	95684135	
1992-08-31,一	833.50	848.40	823.02	823.27	-24.93	-2.94	2.99	7087800	77675193	
1992-09-01,二	826.96	832.84	807.37	824.96	+1.69	0.21	3.09	7102100	87529173	
1992-09-02,三	803.83	826.68	783.96	787.67	-37.29	-4.52	5.18	12722800	140242140	
1992-09-03,四	749.22	781.33	742.74	764.11	-23.56	-2.99	4.90	18598500	206650590	
1992-09-04,五	759.54	776.18	749.46	753.58	-10.53	-1.38	3.50	12170700	130811504	
1992-09-07,一	745.69	788.15	700.79	702.83	-50.75	-6.73	11.59	13418600	135455440	
1992-09-08,二	653.36	702.83	595.41	640.12	-62.71	-8.92	15.28	12956700	130824891	
1992-09-09,三	613.44	643.77	608.04	635.74	-4.38	-0.68	5.58	12596300	131749927	
1992-09-10,四	643.21	695.18	622.01	692.78	+57.04	8.97	11.51	13758000	142572830	
1992-09-11,五	773.22	789.18	719.39	776.29	+83.51	12.05	10.07	15892200	165860410	
